Epoch,step,lr,loss,acc
1,0,0.0005,365.56207,0.04324712643678161
1,102400,0.0005,2.9640882,0.2616379311715049
1,204800,0.0005,2.6509511,0.4870689655172414
2,0,0.0005,2.0069292,0.6807471265738038
2,102400,0.0005,1.4429483,0.8214080461140336
2,204800,0.0005,0.93109596,0.886494252736541
3,0,0.0005,0.5156305,0.9245689655172413
3,102400,0.0005,0.5038806,0.9478448275862069
3,204800,0.0005,0.43305472,0.9573275862068965
4,0,0.0005,0.36160335,0.9602011495623095
4,102400,0.0005,0.32496786,0.9633620691025394
4,204800,0.0005,0.33395302,0.9653735632183909
5,0,0.0005,0.29185537,0.9655172413793104
5,102400,0.0005,0.21608597,0.9712643678160919
